;;;;;;;Таблица частот пересекающихся биграмм для текста с пробелами
;а;б;в;г;д;е;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я;ё;_;
а;1.22e-05;0.000356;0.00329;0.000965;0.00178;0.00134;0.00184;0.00314;0.000284;0.000777;0.0054;0.00771;0.00319;0.00328;2.52e-05;0.000699;0.00182;0.00506;0.00375;4.55e-05;0.000142;0.000776;3.65e-05;0.000837;0.000936;0.000183;0;0;0;1.62e-06;0.000921;0.00183;8.12e-07;0.0159;
б;0.000528;4.06e-06;4.63e-05;3.25e-06;1.95e-05;0.00232;3.25e-06;0;0.000619;0;8.52e-05;0.000643;5.11e-05;0.000231;0.00177;0;0.000914;0.000178;1.62e-06;0.00119;0;3.33e-05;8.12e-07;1.3e-05;5.68e-06;0.000188;0.000178;0.00401;3.98e-05;0;1.62e-06;0.000511;0;0.000353;
в;0.00587;4.06e-06;4.14e-05;0.000193;0.000749;0.00536;0;0.000434;0.00311;0;0.000123;0.0009;9.58e-05;0.00168;0.00608;0.000426;0.000539;0.00371;0.000189;0.000451;0;4.38e-05;1.46e-05;0.000104;0.000658;1.54e-05;4.06e-06;0.00303;0.000125;0;0;0.000155;0;0.00516;
г;0.00108;0;8.12e-07;8.12e-07;0.0011;0.000778;0;8.12e-07;0.000496;0;4.22e-05;0.00164;1.95e-05;0.000215;0.00835;0;0.000494;1.54e-05;4.06e-06;0.000395;0;0;0;2.52e-05;6.49e-06;0;0;0;0;0;0;0;0;0.000994;
д;0.00531;8.93e-06;0.000666;4.87e-06;2.11e-05;0.00434;1.46e-05;4.87e-06;0.00219;0;0.000238;0.000575;4.3e-05;0.00187;0.00383;6.98e-05;0.00154;0.000261;0.000214;0.00151;8.12e-07;7.31e-05;0.000313;6.17e-05;7.47e-05;0;4.87e-06;0.000481;0.000847;0;1.22e-05;0.000243;0;0.000789;
е;2.35e-05;0.00144;0.00205;0.00319;0.0029;0.00159;0.00073;0.00131;0.000125;0.00219;0.0013;0.00525;0.00427;0.00754;0.000279;0.00129;0.00591;0.00425;0.00565;0.000119;9.74e-06;0.000583;0.000385;0.00122;0.000902;0.000819;0;0;0;8.12e-07;0.000256;0.000304;0;0.0186;
ж;0.00129;4.06e-05;0;3.25e-06;0.00081;0.00481;7.31e-06;0;0.00132;0;4.22e-05;2.27e-05;4.06e-06;0.000703;3.08e-05;8.12e-07;4.06e-06;7.31e-06;1.87e-05;0.000208;0;0;0;6.49e-06;0;0;0;0;2.11e-05;0;8.12e-07;0;6.49e-06;0.000469;
з;0.00479;0.000105;0.000959;0.000381;0.000633;0.000242;4.71e-05;4.71e-05;0.000356;0;9.25e-05;0.000223;0.000244;0.00184;0.000412;1.06e-05;0.000202;1.7e-05;5.68e-06;0.000263;0;0;1.62e-06;1.7e-05;3.25e-06;0;3.25e-05;0.000312;0.00131;0;0.000163;0.000521;0;0.00122;
и;6.58e-05;0.000592;0.00224;0.000373;0.00152;0.00171;0.000216;0.00189;0.000542;0.00103;0.00139;0.00532;0.00241;0.00317;0.000309;0.000727;0.000401;0.00208;0.00422;7.31e-06;3.33e-05;0.00129;0.000731;0.00158;0.000568;0.000147;0;0;0;0;0.000258;0.00114;0;0.0172;
й;2.44e-06;3.08e-05;3.25e-06;4.87e-06;0.000234;4.06e-06;8.12e-07;3.25e-06;1.62e-06;0;6.49e-05;1.54e-05;3.65e-05;0.000501;6.49e-06;2.44e-06;2.44e-06;0.000503;0.000404;0;0;8.12e-07;5.84e-05;0.000182;0.00022;0;0;0;0;2.44e-06;0;0;0;0.0059;
